channel_url,title,author,rss_url,confidence_score,api_title,api_author
https://castbox.fm/channel/The-Joe-Rogan-Experience-id1608,The Joe Rogan Experience,Joe Rogan,https://feeds.megaphone.fm/GLT1412515089,1.0,The Joe Rogan Experience,Joe Rogan
https://castbox.fm/channel/TED-Talks-Daily-(SD-video)-id532854,TED Talks Daily,TED,https://feeds.feedburner.com/TEDTalks_audio,1.0,TED Talks Daily,TED
https://castbox.fm/channel/Stuff-You-Should-Know-id4832025,Stuff You Should Know,iHeartPodcasts,https://omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/A91018A4-EA4F-4130-BF55-AE270180C327/44710ECC-10BB-48D1-93C7-AE270180C33E/podcast.rss,1.0,Stuff You Should Know,iHeartPodcasts
https://castbox.fm/channel/The-Daily-id6314682,The Daily,The New York Times,https://feeds.simplecast.com/54nAGcIl,1.0,The Daily,The New York Times
https://castbox.fm/channel/Serial-id6313951,Serial,Serial Productions & The New York Times,https://feeds.simplecast.com/xl36XBC2,1.0,Serial,Serial Productions & The New York Times
https://castbox.fm/channel/This-American-Life-id1017523,This American Life,This American Life,https://www.thisamericanlife.org/podcast/rss.xml,1.0,This American Life,This American Life
https://castbox.fm/channel/Freakonomics-Radio-id4590305,Freakonomics Radio,Freakonomics Radio + Stitcher,https://feeds.simplecast.com/Y8lFbOT4,1.0,Freakonomics Radio,Freakonomics Radio + Stitcher
https://castbox.fm/channel/Masters-of-Scale-id532469,Masters of Scale,WaitWhat,https://rss.art19.com/masters-of-scale,1.0,Masters of Scale,WaitWhat
https://castbox.fm/channel/TED-Radio-Hour-id2698767,TED Radio Hour,NPR,https://feeds.npr.org/510298/podcast.xml,1.0,TED Radio Hour,NPR
https://castbox.fm/channel/Hidden-Brain-id4672506,Hidden Brain,"Hidden Brain, Shankar Vedantam",https://feeds.simplecast.com/kwWc0lhf,1.0,Hidden Brain,"Hidden Brain, Shankar Vedantam"
https://castbox.fm/channel/My-Favorite-Murder-with-Karen-Kilgariff-and-Georgia-Hardstark-id5741919,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,Exactly Right Media – the original true crime comedy network,,,,
https://castbox.fm/channel/Meditative-Story-id2210165,Meditative Story,WaitWhat,https://rss.art19.com/meditative-story,1.0,Meditative Story,WaitWhat
https://castbox.fm/channel/PrimoCast-id2484134,PrimoCast,O Primo Rico,,,,
https://castbox.fm/channel/Radiolab-id129730,Radiolab,WNYC Studios,https://feeds.feedburner.com/radiolab,1.0,Radiolab,WNYC Studios
https://castbox.fm/channel/Morning-Meditation-for-Women-id4934489,Morning Meditation for Women,Morning Meditation,https://feeds.megaphone.fm/morningmeditationforwomen,1.0,Morning Meditation for Women,Morning Meditation
https://castbox.fm/channel/6-Minute-English-id574393,6 Minute English,BBC Radio,https://podcasts.files.bbci.co.uk/p02pc9tn.rss,1.0,6 Minute English,BBC Radio
https://castbox.fm/channel/Global-News-Podcast-id468563,Global News Podcast,BBC World Service,https://podcasts.files.bbci.co.uk/p02nq0gn.rss,1.0,Global News Podcast,BBC World Service
https://castbox.fm/channel/Sleep-Meditation-for-Women-id5009113,Sleep Meditation for Women,Sleep Meditation,https://feeds.megaphone.fm/sleepmeditationforwomen,1.0,Sleep Meditation for Women,Sleep Meditation
https://castbox.fm/channel/Dateline-NBC-id3875371,Dateline NBC,NBC News,https://podcastfeeds.nbcnews.com/dateline-nbc,1.0,Dateline NBC,NBC News
https://castbox.fm/channel/S-Town-id3572954,S-Town,Serial Productions,https://feeds.simplecast.com/CpvnpIaj,1.0,S-Town,Serial Productions
https://castbox.fm/channel/Up-First-from-NPR-id2698546,Up First from NPR,NPR,https://feeds.npr.org/510318/podcast.xml,1.0,Up First from NPR,NPR
https://castbox.fm/channel/On-Purpose-with-Jay-Shetty-id5378932,On Purpose with Jay Shetty,iHeartPodcasts,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/32f1779e-bc01-4d36-89e6-afcb01070c82/e0c8382f-48d4-42bb-89d5-afcb01075cb4/podcast.rss,1.0,On Purpose with Jay Shetty,iHeartPodcasts
https://castbox.fm/channel/Conversations-with-People-Who-Hate-Me-id6343224,Sleep With Me,Silver Sleeper Productions LLC,https://feed.sleepwithmepodcast.com/,1.0,Sleep With Me,Silver Sleeper Productions LLC
https://castbox.fm/channel/All-Ears-English-Podcast-id4827692,All Ears English Podcast,Lindsay McMahon and Michelle Kaplan,https://feeds.megaphone.fm/allearsenglish,1.0,All Ears English Podcast,Lindsay McMahon and Michelle Kaplan
https://castbox.fm/channel/Revisionist-History-id4916553,Revisionist History,Pushkin Industries,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/0e563f45-9d14-4ce8-8ef0-ae32006cd7e7/0d4cc74d-fff7-4b89-8818-ae32006cd7f0/podcast.rss,1.0,Revisionist History,Pushkin Industries
https://castbox.fm/channel/Good-Morning-Night-Vale-id2071680,Good Morning Night Vale,Night Vale Presents,https://feeds.megaphone.fm/SBP6559118977,1.0,Good Morning Night Vale,Night Vale Presents
https://castbox.fm/channel/Up-and-Vanished-id1997224,Up and Vanished,Tenderfoot TV,https://feeds.megaphone.fm/up-and-vanished,1.0,Up and Vanished,Tenderfoot TV
https://castbox.fm/channel/Planet-Money-id2698775,Planet Money,NPR,https://feeds.npr.org/510289/podcast.xml,1.0,Planet Money,NPR
https://castbox.fm/channel/The-Ben-Shapiro-Show-id2663429,The Ben Shapiro Show,The Daily Wire,https://feeds.megaphone.fm/BVDWV5370667266,1.0,The Ben Shapiro Show,The Daily Wire
https://castbox.fm/channel/Lore-id5299581,Lore,Aaron Mahnke,https://feeds.libsyn.com/65267/rss,1.0,Lore,Aaron Mahnke
https://castbox.fm/channel/Dan-Carlin's-Hardcore-History-id3624,Dan Carlin's Hardcore History,Dan Carlin,https://feeds.feedburner.com/dancarlin/history?format=xml,1.0,Dan Carlin's Hardcore History,Dan Carlin
https://castbox.fm/channel/Casefile-True-Crime-id1139548,Casefile True Crime,Casefile Presents,https://feeds.acast.com/public/shows/679acff465f74095106abfaa,1.0,Casefile True Crime,Casefile Presents
https://castbox.fm/channel/Armchair-Expert-with-Dax-Shepard-id6271648,Armchair Expert with Dax Shepard,Armchair Umbrella,https://rss.art19.com/armchair-expert,1.0,Armchair Expert with Dax Shepard,Armchair Umbrella
https://castbox.fm/channel/How-I-Built-This-with-Guy-Raz-id4814017,How I Built This with Guy Raz,Guy Raz | Wondery,https://rss.art19.com/how-i-built-this,1.0,How I Built This with Guy Raz,Guy Raz | Wondery
https://castbox.fm/channel/NerdCast-id6038941,NerdCast,Jovem Nerd,https://feeds.megaphone.fm/JNPD6227286900,1.0,NerdCast,Jovem Nerd
